"code";"diagosis"
"1";"Surgical"
"2";"Nonsurgical"
"2.1";"Respiratory (Nonsurgical)"
"2.2";"Cardiovascular (Nonsurgical)"
"2.3";"Gastrointestinal (Nonsurgical)"
"2.4";"Neurological (including eyes)  (Nonsurgical)"
"2.6";"Poisoning (Nonsurgical)"
"2.7";"Genito, urinary (Nonsurgical)"
"2.8";"Endocrine, Metabolic, Thermoregulation and Poisoning (Nonsurgical)"
"2.9";"Haematological/Immunological (Nonsurgical)"
"2.10";"Musculoskeletal (Nonsurgical)"
"2.11";"Dermatological (Nonsurgical)"
"2.12";"Psychiatric (Nonsurgical)"
"2.13";"Trauma (Nonsurgical)"
"2.1.1";"Upper airway or trachea (Nonsurgical)"
"2.1.2";"Bronchi or lower airways (Nonsurgical)"
"2.1.3";"Pulmonary vasculature (Nonsurgical)"
"2.1.4";"Lungs (Nonsurgical)"
"2.1.5";"Pleura or mediastinum (Nonsurgical)"
"2.1.6";"Spinal cord lesions causing respiratory failure (Nonsurgical)"
"2.1.7";"Peripheral nervous system disorders causing respiratory failure (Nonsurgical)"
"2.1.8";"Neuro, muscular junction disorders causing respiratory failure (Nonsurgical)"
"2.1.9";"Chest wall or diaphragm disorders causing respiratory failure (Nonsurgical)"
"2.1.1";"Brain lesions causing respiratory failure (Nonsurgical)"
"2.2.1";"Coronary arteries (Nonsurgical)"
"2.2.2";"Myocardium or cardiac chambers (Nonsurgical)"
"2.2.3";"Pericardium, pericardial space or mediastinum (Nonsurgical)"
"2.2.4";"Heart valves (Nonsurgical)"
"2.2.5";"Conducting system or rhythm disturbances (Nonsurgical)"
"2.2.6";"Thoracic aorta (Nonsurgical)"
"2.2.8";"Splanchnic or renal vessels (Nonsurgical)"
"2.2.9";"Neck or extracranial vessels (Nonsurgical)"
"2.2.1";"Limb or limb girdle vessels (Nonsurgical)"
"2.2.11";"Great veins (Nonsurgical)"
"2.2.12";"Peripheral vasculature, shock or hypertension (Nonsurgical)"
"2.2.13";"Pulmonary vasculature (Nonsurgical)"
"2.2.14";"Uterine or ovarian vessels (Nonsurgical)"
"2.2.15";"Abdominal aorta (Nonsurgical)"
"2.2.16";"Iliac vessels (Nonsurgical)"
"2.3.1";"Mouth or pharynx (Nonsurgical)"
"2.3.2";"Oesophagus (Nonsurgical)"
"2.3.3";"Stomach (Nonsurgical)"
"2.3.4";"Duodenum (Nonsurgical)"
"2.3.5";"Small bowel (Nonsurgical)"
"2.3.6";"Large bowel, rectum or anus (Nonsurgical)"
"2.3.7";"Liver or biliary tree (Nonsurgical)"
"2.3.8";"Spleen (Nonsurgical)"
"2.3.9";"Pancreas (Nonsurgical)"
"2.3.1";"Abdominal wall or peritoneum (Nonsurgical)"
"2.4.1";"Head, neck (extracranial) or eyes (Nonsurgical)"
"2.4.2";"Brain, CSF, meninges or skull vault (Nonsurgical)"
"2.4.3";"Spinal cord (Nonsurgical)"
"2.4.4";"Peripheral nervous system (Nonsurgical)"
"2.4.5";"Neuro,muscular junction (Nonsurgical)"
"2.6.8";"Poisoning (Nonsurgical)"
"2.7.1";"Kidney or ureter (Nonsurgical)"
"2.7.2";"Bladder or urethra (Nonsurgical)"
"2.7.3";"Ovary, fallopian tubes, uterus or genitalia (non,obstetric) (Nonsurgical)"
"2.7.4";"Ovary, fallopian tubes, uterus or genitalia (obstetric) (Nonsurgical)"
"2.7.5";"Testes, prostate or penis (Nonsurgical)"
"2.8.1";"Thyroid (Nonsurgical)"
"2.8.2";"Pituitary (Nonsurgical)"
"2.8.3";"Adrenal (Nonsurgical)"
"2.8.4";"Endocrine pancreas (Nonsurgical)"
"2.8.5";"Parathyroids (Nonsurgical)"
"2.8.7";"Thermoregulation (Nonsurgical)"
"2.8.8";"Body fluids or tissues (Nonsurgical)"
"2.8.9";"Body composition (Nonsurgical)"
"2.8.11";"Chromosomal abnormalities (Nonsurgical)"
"2.9.1";"Blood (Nonsurgical)"
"2.9.2";"Marrow (Nonsurgical)"
"2.10.1";"Vertebral column (Nonsurgical)"
"2.10.2";"Pelvis, long bones or joints (Nonsurgical)"
"2.10.3";"Muscles or connective tissue (Nonsurgical)"
"2.11.1";"Skin (Nonsurgical)"
"2.12.1";"Psychiatric (Nonsurgical)"
"2.13.1";"Respiratory (Nonsurgical)"
"2.13.2";"Cardiovascular (Nonsurgical)"
"2.13.3";"Gastrointestinal (Nonsurgical)"
"2.13.4";"Neurological (including eyes) (Nonsurgical)"
"2.13.5";"Genito,urinary (Nonsurgical)"
"2.13.6";"Musculoskeletal (Nonsurgical)"
"2.13.7";"Dermatological (Nonsurgical)"
"1.1";"Respiratory (Surgical)"
"1.2";"Cardiovascular (Surgical)"
"1.3";"Gastrointestinal (Surgical)"
"1.4";"Neurological (including eyes)  (Surgical)"
"1.6";"Poisoning (Surgical)"
"1.7";"Genito, urinary (Surgical)"
"1.8";"Endocrine, Metabolic, Thermoregulation and Poisoning (Surgical)"
"1.9";"Haematological/Immunological (Surgical)"
"1.10";"Musculoskeletal (Surgical)"
"1.11";"Dermatological (Surgical)"
"1.12";"Psychiatric (Surgical)"
"1.13";"Trauma (Surgical)"
"1.1.1";"Upper airway or trachea (Surgical)"
"1.1.2";"Bronchi or lower airways (Surgical)"
"1.1.3";"Pulmonary vasculature (Surgical)"
