"Condition","Surgical","Nonsurgical"
"Mouth, mandible, pharynx, or facial bones deformity","1.1.1.8.1","2.1.1.8.1"
"Tracheo-oesophageal fistula","1.1.1.8.2","2.1.1.8.2"
"Laryngomalacia","1.1.1.8.3","2.1.1.8.3"
"Tracheomalacia","1.1.1.8.4","2.1.1.8.4"
"Choanal atresia","1.1.1.8.5","2.1.1.8.5"
"Vocal cord abnormality","1.1.1.8.6","2.1.1.8.6"
"Post-tonsillectomy bleeding","1.1.1.15.1","2.1.1.15.1"
"Upper airway bleeding not defined","1.1.1.15.2","2.1.1.15.2"
"Mandible, facial bones, dental or salivary infection","1.1.1.27.1","2.1.1.27.1"
"Tonsil or pharyngeal infection","1.1.1.27.2","2.1.1.27.2"
"Epiglottitis","1.1.1.27.3","2.1.1.27.3"
"Croup or laryngotracheobronchitis","1.1.1.27.4","2.1.1.27.4"
"Airway compression by extrinsic abscess","1.1.1.27.5","2.1.1.27.5"
"Pertussis","1.1.1.27.6","2.1.1.27.6"
"Inhalational burns","1.1.1.28.1","2.1.1.28.1"
"Angio-neurotic oedema due to drug or treatment reaction","1.1.1.28.2","2.1.1.28.2"
"Oedema due to venous obstruction","1.1.1.28.3","2.1.1.28.3"
"Extrinsic compression of airway by haematoma","1.1.1.30.1","2.1.1.30.1"
"Extrinsic compression of airway by abscess","1.1.1.30.2","2.1.1.30.2"
"Extrinsic compression of airway by thyroid or lymphoid tissue","1.1.1.30.3","2.1.1.30.3"
"Epiglottitis","1.1.1.30.4","2.1.1.30.4"
"Croup or laryngotracheobronchitis","1.1.1.30.5","2.1.1.30.5"
"Hanging or strangulation","1.1.1.30.6","2.1.1.30.6"
"Tracheal stenosis","1.1.1.30.7","2.1.1.30.7"
"Airway obstruction by foreign body","1.1.1.30.8","2.1.1.30.8"
"Inhalational burns","1.1.1.30.9","2.1.1.30.9"
"Angio-neurotic oedema due to drug or treatment reaction","1.1.1.30.10","2.1.1.30.10"
"Oedema due to venous obstruction","1.1.1.30.11","2.1.1.30.11"
"Obstructive sleep apnoea","1.1.1.30.12","2.1.1.30.12"
