,short,item
1,ICNNO,Site code (ICNARC CMP number)
2,bed02,CCU bed configuration 02
3,bed03,CCU bed configuration 03
4,bed05,CCU bed configuration 05
5,bed50,CCU bed configuration 90
6,NHSNO,NHS number
7,pasno,PAS number
8,ADNO,Critical care local identifier / ICNARC admission number
9,DOB,Date of birth
10,PCODE,Postcode
11,GPCODE,Code of GP
12,ETHNIC,Ethnicity
13,SEX,Sex
14,HCM,Height
15,HCMEST,Height (Source)
16,WKG,Weight
17,WKGEST,Weight (Source)
18,DAH,Date of admission to your hospital
19,DAICU,Date & Time of admission to your unit
20,DWFRD,Date fully ready for discharge
21,TWFRD,Time fully ready for discharge
22,DDICU,Date & Time of discharge from your unit
23,DUDICU,Date of ultimate discharge from ICU/HDU
24,DDH,Date of discharge from your hospital
25,DUDH,Date of ultimate discharge from your hospital
26,UDIS,Status at ultimate discharge from ICUHDU
27,RESA,Residence prior to admission to acute hospital
28,HLOCA,Hospital housing location (in)
29,LOCA,Location (in)
30,PA_V3,Admission type
31,SCODE,Treatment function code
32,CLASSNS,classification of surgery
33,CCL2D,Level 2 (HDU) days
34,CCL3D,Level 3 (ICU) days
35,RDIS_V3,Discharge status (Reason for discharge from your unit)
36,LOCD,Discharge location (location out)
37,TNESSD,Timeliness of discharge from your unit
38,LEVD,Level of care at discharge from your unit
39,DIS,Dead or alive on discharge
40,DOAH,Date of original admission to/attendance at acute hospital
41,SOHA,Sector of other hospital (in)
42,PLOCA,Prior location (in)
43,TUADNO,Transferring unit admission number
44,DOAICU,Date of original admission to ICU/HDU
45,TUIDI,Transferring unit identifier (in)
46,TYPEIHA,Type of adult ICU/HDU (in)
47,TGA,Adult ICU/HDU within your critical care transfer group (in)
48,CCA,Critical care visit prior to this admission to your unit
49,DLCCA,Date of last critical care visit prior to this admission to your unit
50,HLOCD,Hospital housing location (out)
51,SOHD,Sector of other hospital (out)
52,TYPEIHD,Type of adult ICU/HDU (out)
53,TGD,Adult ICU/HDU within your critical care transfer group (out)
54,HDIS,Status at discharge from your hospital
55,CCD,Critical care visit post-discharge from your unit
56,DFCCD,Date of first critical care post-discharge from your unit
57,DESTH_V3,Destination post discharge within your hospital
58,RESD,Residence post discharge from acute hospital
59,UHDIS,Status at ultimate discharge from hospital
60,PSP,Admission for pre-surgical preparation
61,CPR_V3,Cardiopulmonary resuscitation within 24 hours prior to admission to unit
62,RAICU1,Primary reason for admission to your unit
63,RAICU2,Secondary reasons for admission to your unit
64,URAICU,Ultimate primary reason for admission to unit
65,CHEMOX,Chemotherapy (within the last 6months) steroids alone excluded
66,RADIOX,Radiotherapy
67,CICIDS,Congenital immunohumoral or cellular immune deficiency state
68,AMLALLMM,Acute myeloid/lymphocytic leukaemia or myeloma
69,CMLCLL,Chronic myelogenous /lymphocytic leukaemia
70,LYM,Lymphoma
71,META,Metastatic disease
72,CRRX,Chronic renal replacement therapy
73,BPC,Biopsy proven cirrhosis
74,HE,Heaptic encephalopathy
75,PH,Portal hypertension
76,AIDS_V3,HIV/AIDS
77,HV,Home ventilation
78,SRD,Severe respiratory disease
79,STERX,Steroid treatment
80,VSCD,Very severe cardiovascular disease
81,OCPMH,Other condition in past medical history
82,DEP,Dependency prior to admission
83,apache_score,APACHE II Score
84,apache_prob,APACHE II Probability
85,TNESSA,Delayed admission
86,DHRS,Delay
87,AMUAI,Antimicrobial use after 48 hours in your unit
88,ORGAN_SUPPORT,Organ support maximum
89,ARSD,Advanced respiratory support days
90,BRSD,Basic respiratory support days
91,ACSD,Advanced Cardiovascular support days
92,BCSD,Basic Cardiovascular support days
93,RSD,Renal support days
94,NSD,Neurological support days
95,LSD,Liver support days
96,DSD,Dermatological support days
97,GSD,Gastrointestinal support days
98,ITW_V3,Treatment withheld/withdrawn
99,DTW,Date treatment first withdrawn
100,TTW,Time treatment first withdrawn
101,BSDTP,Brain stem death declared
102,DDBSD,Date of declaration of brain stem death
103,TDBSD,Time of declaration of brain stem death
104,DOD,Date of death on yout unit
105,TOD,Time of death on your unit
106,REFOD,Referred for solid organ or tissue donation
107,OD_V3,Solid organ or tissue donor
108,DBRICU,Date body removed from your unit
109,TBRICU,Time body removed from your unit
110,advsupt_resp,Advanced respiratory support
111,basicsupt_resp,Basic respiratory support
112,advsupt_resp,Advanced Cardiovascular support
113,basicsupt_cardv,Basic Cardiovascular support
114,supt_renal,Renal support
115,supt_neuro,Neurological support
116,supt_liver,Liver support
117,supt_dermat,Dermatological support
118,supt_gastr,Gastrointestinal support
119,gcs_total,GCS - total
120,gcs_motor,GCS - motor component
121,gcs_eye,GCS - eye component
122,gcs_verbal,GCS - verbal component
123,sedation_score,Sedation score (hourly)
124,sedataion,Sedation yes/no
125,h_rate,Heart rate
126,h_rhythm,Heart rhythm
127,bp_m_a,Mean arterial blood pressure - Art BPMean arterial blood pressure
128,bp_m_ni,Mean arterial blood pressure - NBPMean arterial blood pressure
129,bp_sys_a,Systolic Arterial blood pressure - Art BPSystolic Arterial blood pressure
130,bp_sys_ni,Systolic Arterial blood pressure - NBPSystolic Arterial blood pressure
131,bp_dia_a,Diastolic arterial blood pressure - Art BPDiastolic arterial blood pressure
132,bp_dia_ni,Diastolic arterial blood pressure - NBPDiastolic arterial blood pressure
133,venous_p,Central venous pressure
134,lidco_plus,Cardiac output - LiDCO Plus
135,lidco_rapid,Cardiac output - LiDCO Rapid
136,picco,Cardiac output - PICCO
137,pa_catheter,Cardiac output - PA Catheter
138,doppler,Cardiac output - Doppler
139,airway,Airway
140,ventilation,Invasive or non-invasive (ventilation)
141,respiratory_rate_spon,Spontaneous Respiratory Rate
142,respiratory_rate_totl,Total respiratory rate (monitor)
143,spo2,SpO2
144,pao2_fio2,PaO2/FiO2 ratio
145,fraction_oxygen,Inspired fraction of oxygen
146,pe_expiratory_pressure,Positive End Expiratory Pressure
147,mand_resp_rate,Mandatory Respiratory Rate
148,total_resp_rate,Total respiratory rate (ventilator)
149,minute_volume,Minute volume
150,tidal_volume,Tidal volume
151,airway_pressure,Peak airway pressure
152,frequency,Frequency (Hz)
153,cycle_volumn,Cycle Volume
154,base_flow,Base flow
155,airway_pressure,Airway pressure
156,fluid_balance,Fluid Balance (daily)
157,fluid_balance,Fluid Balance (hourly)
158,urine_output,Urine output
159,renal_replace,Renal replacement mode
160,duration_therapy,Duration of therapy (hours per day)
161,effluent_per_day,Total effluent per day
162,dialysate,Dialysate
163,replace_fluid_RRT,Replacement fluid during RRT
164,anticoagulation,Type of anticoagulation
165,position,Position
166,temperature_central,Temperature - Central
167,temperature_non_central,Temperature - Non-central
168,sodium,Sodium
169,sodium_abg_vbg,Sodium ABG/VBG
170,potassium,Potassium
171,potassium_abg_vbg,Potassium ABG/VBG
172,urea,Urea
173,creatinine,Creatinine
174,bilirubin,Bilirubin
175,glucose_lab,Glucose (laboratory)
176,glucode_abg_vbg,Glucose ABG/VBG
177,glucode_bedtest,Glucose bedside test
178,cprotein,C reactive protein
179,ph_abg_vbg,pH - ABG / VBG
180,hco3_abg_vbg,HCO3 - ABG / VBG
181,lactate_abg,Lactate - ABG
182,lactate_lab,Lactate - Lab
183,haemoglobin,Haemoglobin
184,haemoglobin_abg_vbg,Haemoglobin ABG/VBG
185,white_cell,White cell count
186,neutrophil,Neutrophil count
187,platelets,Platelets
188,site,Site
189,organism,Organism
190,sensitivity,Sensitivity
191,pao2_abg,PaO2 - ABG
192,sao2_abg,SaO2 - ABG
193,venous_saturation,Central venous saturation
194,paco2_abg,PaCO2 - ABG
195,amikacin,Amikacin
196,gentamicin,Gentamicin
197,neomycin,Neomycin
198,tobramycin,Tobramycin
199,pentamidine,Pentamidine
200,ethambutal hcl,Ethambutal HCL
201,isoniazid,Isoniazid
202,pyrazinamide,Pyrazinamide
203,rifampacin,Rifampacin
204,rifater,Rifater
205,rifinah,Rifinah
206,ertapenem,Ertapenem
207,meropenem,Meropenem
208,cefotaxime,Cefotaxime
209,ceftazidime,Ceftazidime
210,ceftriaxone,Ceftriaxone
211,cefuroxime,Cefuroxime
212,chloramphenicol,Chloramphenicol
213,fuscidic acid,Fuscidic acid
214,sodium fusidate,Sodium Fusidate
215,teicoplanin,Teicoplanin
216,vancomycin,Vancomycin
217,clindamycin,Clindamycin
218,azithromycin,Azithromycin
219,clarithromycin,Clarithromycin
220,erythromycin,Erythromycin
221,nitrofurantion,Nitrofurantion
222,metronidazole,Metronidazole
223,linezolid,Linezolid
224,amoxicillin,Amoxicillin
225,benzylpenicillin,Benzylpenicillin
226,co-amoxiclav,Co-Amoxiclav
227,flucloxacillin,Flucloxacillin
228,phenoxymethylpenicillin,Phenoxymethylpenicillin
229,piperacillin_tazobactam,Piperacillin/Tazobactam
230,colistin,Colistin
231,ciprofloxacin,Ciprofloxacin
232,levofloxacin,Levofloxacin
233,moxifloxacin,Moxifloxacin
234,ofloxacin,Ofloxacin
235,co-trimoxazole,Co-Trimoxazole
